date,controller,battery_size,original_peak,realized_peak,peak_reduction,peak_reduction_pct,total_charge,total_discharge,throughput,initial_soc,initial_soc_error,terminal_soc,terminal_soc_error,forecast_peak,solver_status
2017-12-29,No Battery,None,430.0000000000,430.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-30,No Battery,None,411.0000000000,411.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-31,No Battery,None,404.0000000000,404.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,not_applicable
2017-12-02,Persistence,Medium,426.0000000000,450.1453744493,-24.1453744493,-5.6679282745,284.8898678414,256.4008810573,541.2907488987,366.3887497592,0.0000000000,366.3887497592,0.0000000000,441.1453744493,0: optimal
2017-12-03,Persistence,Medium,432.0000000000,427.0176211454,4.9823788546,1.1533284386,64.2290748899,57.8061674009,122.0352422907,366.3887497592,0.0000000000,366.3887497592,0.0000000000,416.0176211454,0: optimal
2017-12-04,Persistence,Medium,465.0000000000,459.8201754386,5.1798245614,1.1139407659,86.8421052632,78.1578947368,165.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,417.8201754386,0: optimal
2017-12-05,Persistence,Medium,471.0000000000,454.9868995633,16.0131004367,3.3998090099,276.8558951965,249.1703056769,526.0262008734,366.3887497592,0.0000000000,366.3887497592,0.0000000000,432.9868995633,0: optimal
2017-12-06,Persistence,Medium,475.0000000000,453.9559471366,21.0440528634,4.4303269186,249.4273127753,224.4845814978,473.9118942731,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.9559471366,0: optimal
2017-12-07,Persistence,Medium,483.0000000000,449.4247787611,33.5752212389,6.9513915609,261.9469026549,235.7522123894,497.6991150442,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.4247787611,0: optimal
2017-12-08,Persistence,Medium,483.0000000000,448.6150442478,34.3849557522,7.1190384580,307.6106194690,276.8495575221,584.4601769911,366.3887497592,0.0000000000,366.3887497592,0.0000000000,440.6150442478,0: optimal
2017-12-09,Persistence,Medium,432.0000000000,441.4493392070,-9.4493392070,-2.1873470387,297.8414096916,268.0572687225,565.8986784141,366.3887497592,0.0000000000,366.3887497592,0.0000000000,441.4493392070,0: optimal
2017-12-10,Persistence,Medium,429.0000000000,424.2444444444,4.7555555556,1.1085211085,78.6666666667,70.8000000000,149.4666666667,366.3887497592,0.0000000000,366.3887497592,0.0000000000,416.2444444444,0: optimal
2017-12-11,Persistence,Medium,469.0000000000,466.8421052632,2.1578947368,0.4601054876,92.1052631579,82.8947368421,175.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,415.8421052632,0: optimal
2017-12-12,Persistence,Medium,468.0000000000,442.5198237885,25.4801762115,5.4444820965,284.7577092511,256.2819383260,541.0396475771,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.5198237885,0: optimal
2017-12-13,Persistence,Medium,477.0000000000,450.0486725664,26.9513274336,5.6501734662,251.6814159292,226.5132743363,478.1946902655,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.0486725664,0: optimal
2017-12-14,Persistence,Medium,471.0000000000,449.0929203540,21.9070796460,4.6511846382,292.3008849558,263.0707964602,555.3716814159,366.3887497592,0.0000000000,366.3887497592,0.0000000000,437.0929203540,0: optimal
2017-12-15,Persistence,Medium,476.0000000000,443.8728070175,32.1271929825,6.7494102904,279.4736842105,251.5263157895,531.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.8728070175,0: optimal
2017-12-16,Persistence,Medium,425.0000000000,435.1725663717,-10.1725663717,-2.3935450286,271.4159292035,244.2743362832,515.6902654867,366.3887497592,0.0000000000,366.3887497592,0.0000000000,436.1725663717,0: optimal
2017-12-17,Persistence,Medium,423.0000000000,416.1504424779,6.8495575221,1.6192807381,76.1061946903,68.4955752212,144.6017699115,366.3887497592,0.0000000000,366.3887497592,0.0000000000,412.1504424779,0: optimal
2017-12-18,Persistence,Medium,462.0000000000,457.3612334802,4.6387665198,1.0040620173,76.6960352423,69.0264317181,145.7224669604,366.3887497592,0.0000000000,366.3887497592,0.0000000000,411.3612334802,0: optimal
2017-12-19,Persistence,Medium,467.0000000000,449.0660792952,17.9339207048,3.8402399796,265.8590308370,239.2731277533,505.1321585903,366.3887497592,0.0000000000,366.3887497592,0.0000000000,431.0660792952,0: optimal
2017-12-20,Persistence,Medium,461.0000000000,449.9911894273,11.0088105727,2.3880283238,227.8854625551,205.0969162996,432.9823788546,366.3887497592,0.0000000000,366.3887497592,0.0000000000,439.9911894273,0: optimal
2017-12-21,Persistence,Medium,460.0000000000,438.7743362832,21.2256637168,4.6142747210,195.8407079646,176.2566371681,372.0973451327,366.3887497592,0.0000000000,366.3887497592,0.0000000000,435.7743362832,0: optimal
2017-12-22,Persistence,Medium,444.0000000000,442.0396475771,1.9603524229,0.4415208160,229.5154185022,206.5638766520,436.0792951542,366.3887497592,0.0000000000,366.3887497592,0.0000000000,431.0396475771,0: optimal
2017-12-23,Persistence,Medium,400.0000000000,415.9288888889,-15.9288888889,-3.9822222222,172.9333333333,155.6400000000,328.5733333333,366.3887497592,0.0000000000,366.3887497592,0.0000000000,412.9288888889,0: optimal
2017-12-24,Persistence,Medium,395.0000000000,397.1409691630,-2.1409691630,-0.5420175096,63.8325991189,57.4493392070,121.2819383260,366.3887497592,0.0000000000,366.3887497592,0.0000000000,391.1409691630,0: optimal
2017-12-25,Persistence,Medium,390.0000000000,389.8333333333,0.1666666667,0.0427350427,30.0000000000,27.0000000000,57.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,389.8333333333,0: optimal
2017-12-26,Persistence,Medium,400.0000000000,395.8991228070,4.1008771930,1.0252192982,25.7894736842,23.2105263158,49.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,385.8991228070,0: optimal
2017-12-27,Persistence,Medium,426.0000000000,417.2522123894,8.7477876106,2.0534712701,80.5309734513,72.4778761062,153.0088495575,366.3887497592,0.0000000000,366.3887497592,0.0000000000,388.2522123894,0: optimal
2017-12-28,Persistence,Medium,427.0000000000,431.8165938865,-4.8165938865,-1.1280079359,175.9825327511,158.3842794760,334.3668122271,366.3887497592,0.0000000000,366.3887497592,0.0000000000,402.8165938865,0: optimal
2017-12-29,Persistence,Medium,430.0000000000,415.9956140351,14.0043859649,3.2568339453,128.9473684211,116.0526315789,245.0000000000,366.3887497592,0.0000000000,366.3887497592,0.0000000000,411.9956140351,0: optimal
2017-12-30,Persistence,Medium,411.0000000000,418.1858407080,-7.1858407080,-1.7483797343,134.6017699115,121.1415929204,255.7433628319,366.3887497592,0.0000000000,366.3887497592,0.0000000000,410.1858407080,0: optimal
2017-12-31,Persistence,Medium,404.0000000000,405.4513274336,-1.4513274336,-0.3592394638,38.3185840708,34.4867256637,72.8053097345,366.3887497592,0.0000000000,366.3887497592,0.0000000000,405.4513274336,0: optimal
2017-12-02,LightGBM,Medium,426.0000000000,424.0461410624,1.9538589376,0.4586523328,96.9344939422,87.2410445480,184.1755384902,366.3887497592,0.0000000000,366.3887497592,0.0000000000,420.5857558977,0: optimal
